Тираж;Дата;День недели;Дата и Время;Выпавшие шары;Жёлтых;Чёрных
#72609100347;2026-09-10;Четверг;2026-09-10 20:45:36;11, 41, 9, 35, 27, 10, 32;3.0;4.0
#72609100348;2026-09-10;Четверг;2026-09-10 20:49:12;10, 27, 33, 12, 16, 31, 14;4.0;3.0
#72609100349;2026-09-10;Четверг;2026-09-10 20:52:48;22, 15, 8, 41, 12, 29, 20;0.0;7.0
#72609100350;2026-09-10;Четверг;2026-09-10 20:56:24;41, 12, 14, 2, 40, 5, 24;3.0;4.0
#72609100351;2026-09-10;Четверг;2026-09-10 21:00:00;40, 2, 42, 30, 23, 36, 26;5.0;2.0
#72609100352;2026-09-10;Четверг;2026-09-10 21:03:36;42, 2, 28, 17, 32, 3, 9;4.0;3.0
#72609100353;2026-09-10;Четверг;2026-09-10 21:07:12;17, 27, 29, 40, 21, 24, 13;2.0;5.0
#72609100354;2026-09-10;Четверг;2026-09-10 21:10:48;17, 31, 10, 11, 28, 40, 25;5.0;2.0
#72609100355;2026-09-10;Четверг;2026-09-10 21:14:24;14, 40, 39, 41, 16, 36, 38;4.0;3.0
#72609100356;2026-09-10;Четверг;2026-09-10 21:18:00;9, 12, 39, 18, 20, 25, 42;4.0;3.0
#72609100357;2026-09-10;Четверг;2026-09-10 21:21:36;20, 23, 31, 28, 25, 26, 2;5.0;2.0
#72609100358;2026-09-10;Четверг;2026-09-10 21:25:12;9, 42, 10, 22, 41, 11, 6;4.0;3.0
#72609100359;2026-09-10;Четверг;2026-09-10 21:28:48;2, 38, 1, 22, 21, 37, 36;3.0;4.0
#72609100360;2026-09-10;Четверг;2026-09-10 21:32:24;5, 10, 18, 25, 40, 42, 37;4.0;3.0
#72609100361;2026-09-10;Четверг;2026-09-10 21:36:00;38, 11, 13, 18, 40, 5, 19;5.0;2.0
#72609100362;2026-09-10;Четверг;2026-09-10 21:39:36;19, 3, 5, 12, 11, 29, 27;2.0;5.0
#72609100363;2026-09-10;Четверг;2026-09-10 21:43:12;19, 28, 10, 33, 37, 21, 6;5.0;2.0
#72609100364;2026-09-10;Четверг;2026-09-10 21:46:48;38, 15, 40, 3, 39, 17, 14;3.0;4.0
#72609100365;2026-09-10;Четверг;2026-09-10 21:50:24;23, 28, 36, 15, 7, 13, 27;3.0;4.0
